Term,Definition,Greek/Latin,POS
aden-,gland,"ἀδήν, ἀδένος (gland)",Word Root
cancer-,cancer,"cancer, cancri m. (crab)",Word Root
carcin-,cancer,"καρκίνος (crab, sore, ulcer, pair of pincers, forceps, instrument of torture)",Word Root
chlor-,green,"χλωρός (greenish yellow, pale green, living, fresh)",Word Root
chrom-,color,χρῶμα (color),Word Root
cyan-,blue,"κύανος (dark blue enamel, lapis lazuli, other blue things; a noun!)",Word Root
cyt-,cell,κύτος (hollow vessel),Word Root
epitheli-,epithelium,ἐπί (upon) + θηλή (nipple),Word Root
erythr-,red,ἐρυθρός (red),Word Root
eti-,cause (of disease),αἰτία (cause),Word Root
fibr-,fiber,"fibra, -ae (fiber, filament, entrails)",Word Root
gno-,knowledge,γιγνωσκω/γνῶσις (I know/knowledge),Word Root
hist-,tissue,"ἱστός (something woven, web, tissue)",Word Root
iatr-,"physician, medicine (also: treatment)",ἰατρός (doctor),Word Root
kary-,nucleus,"κάρυον (nut, stone, kernel)",Word Root
lei-,smooth,"λεῖος (smooth, level, soft, plain)",Word Root
leuk-,white,λευκός (white),Word Root
lip-,fat,"λίπος (animal fat, lard, tallow)",Word Root
melan-,black,"μέλας, μέλαινα, μέλαν; μέλανος (black)",Word Root
my-,muscle,"μῦς, μύος (field mouse, muscle)",Word Root
neur-,nerve,"νεῦρον, το (sinew, tendon)",Word Root
onc-,"tumor, mass","ὄγκος (bulk, mass, body)",Word Root
organ-,organ,"organum, i  (instrument, implement, engine)",Word Root
path-,disease,"πάθος (suffering, experience, misfortune, condition, state)",Word Root
rhabd-,"rod-shaped, striated","ῥάβδος (magic wand, staff, rod, stick, decorative stripe)",Word Root
sarc-,"flesh, connective tissue","σάρξ, σαρκός ἡ (flesh)",Word Root
somat-,body,"σῶμα, σώματος (body)",Word Root
system-,system,"σύστημα  (system, from συν: with ιστημι: I stand)",Word Root
viscer-,internal organs,"viscus, visceris n. (soft flesh, entrails) related to visco ""I make sticky""",Word Root
xanth-,yellow,ξανθὀς (yellow),Word Root
dia-,"through, complete",διά (through),Prefix
dys-,"painful, abnormal, difficult, labored",δυσ- (bad),Prefix
hyper-,"above, excessive",ὑπέρ (beyond),Prefix
hypo-,"below, incomplete, deficient, under",ὑπό (under),Prefix
meta-,"after, beyond, change","μετά (with, after)",Prefix
neo-,new,νέος (new),Prefix
pro-,before,pro (before) or προ (before),Prefix
 -al,pertaining to, -alis,Suffix
 -cyte,cell,κύτος (hollow vessel),Suffix
 -gen,substance or agent that produces or causes,"γεννάω (I beget, bear, create, produce) - causal form of γίγνομαι (I become)",Suffix
 -genic,"producing, causing, originating","γεννάω (I beget, bear, create, produce) - causal form of γίγνομαι (I become)",Suffix
 -ic,pertaining to, -icus or -ικ-,Suffix
 -logist,"one who studies and treats (specialist, physician)",λόγος (account) + ist,Suffix
 -logy,study of,λόγος (account) + y,Suffix
 -megaly,enlargement,"μέγας, μεγάλη, μέγα (large) + y",Suffix
 -oid,resembling,"εἶδος (vision, appearance) latinized into -oid",Suffix
 -oma,"tumor, swelling"," -ωμα, (-μα) Greek noun-forming suffix, adopted into English by analogy with sarcoma, etc.",Suffix
 -osis,abnormal condition (means increase when used with blood cell word roots)," -ωσις (noun formation from verbs - omicron contract + σις, esp aor stem - e.g. δηλωσις)",Suffix
 -ous,pertaining to," -osus into french -ous/eux, ""full of""",Suffix
 -pathy,disease,πάθος (suffering/experience) + y,Suffix
 -plasia,"condition of formation, development, growth","πλάσις (molding, conformation) + ia",Suffix
 -plasm,"growth, substance, formation","πλάσμα (anything molded, a figure, counterfeit, forgery)",Suffix
 -sarcoma,malignant tumor,σάρκωμα (fleshy outgrowth),Suffix
 -sis,state of, -σις (Gk suffix for state or condition),Suffix
 -stasis,"control, stop, standing","στάσις (placing, setting, standing, position, station, state, condition, faction)",Suffix
anter-,front,anterior (earlier/before-er),Word Root
caud-,tail (downward),"cauda, -ae (tail)",Word Root
cephal-,head,"κεφαλή (head, can refer to a whole person)",Word Root
dist-,away (from the point of attachment of a body part,English: dist(ance) + -al,Word Root
dors-,back,"dorsum, i (back)",Word Root
infer-,below,inferior (lower),Word Root
later-,side,"latus, lateris n. (side, flank)",Word Root
medi-,middle,"medius, a, um (middle)",Word Root
poster-,"back, behind","posterior (later, more-after)",Word Root
proxim-,near (the point of attachment of a body part),proximus (nearest),Word Root
super-,above,"super (preposition; above, over, excessive)",Word Root
ventr-,belly (front),"venter, ventris m. (belly, paunch, appetite for food, womb, bowels, any protuberance)",Word Root
bi-,two,bis (two times),Prefix
uni-,one,"unus, a, um (one)",Prefix
 -ad,toward,"ad (to, toward)",Suffix
 -ior,pertaining to,xx,Suffix
sagittal,[plane of the body],sagitta f. (arrow),Body Axis
coronal,[plane of the body],"corona f. (crown, garland)",Body Axis
frontal,[plane of the body],"frons, frontis m. (forehead)",Body Axis
transverse,[plane of the body],transversus (traveled across),Body Axis
supine,[body position],supinus (lying on the back),Position
prone,[body position],pronus (lying on the stomach),Position
recumbent,[body position],recumbere (to lie down),Position
lithotomy,[body position],λιθος (stone) + τομη (cut),Position
orthopnea,[body position],"ορθος (correct, upright) + πνεα (breathing)",Position
aut-,self,αὐτός (self),Word Root
bi-,life,βίος (life),Word Root
coni-,dust,"κονία (dust, ash)",Word Root
crypt-,hidden,κρυπτω (to hide),Word Root
cutane-,skin,"cutanius (adj. for skin) from cutis, is f.",Word Root
derm-,skin,δέρμα/δερματος  (skin),Word Root
dermat-,skin,δέρμα/δερματος  (skin),Word Root
heter-,other,ἕτερος (other),Word Root
hidr-,sweat,"ἱδρώς, ἱδρῶτος (sweat, exudation)",Word Root
kerat-,"horny tissue, hard","κεράς, κεράτος, το (horn of an animal and anything made from it)",Word Root
myc-,fungus,"μύκης, μηκητος (mushroom, knobby round body)",Word Root
necr-,"death (cells, body)",νεκρός (corpse),Word Root
onych-,nail,"ὄνυξ, ὄνυχος, ὁ (claws, nail, anything claw-like)",Word Root
pachy-,thick,"παχύς, εῖα, ύ (thick)",Word Root
rhytid-,wrinkles,"ῥυτίς, ῥυτίδος ἡ (pucker, wrinkle)",Word Root
seb-,sebum (oil),"sebum, -i (tallow, suet, grease, esp. pig fat)",Word Root
staphyl-,grapelike clusters,"σταφυλή (bunch of grapes, uvula)",Word Root
strept-,twisted chains,"στρεπτός (easily twisted, pliant, bent, curved)",Word Root
trich-,hair,"θρίξ, τριχός (hair)",Word Root
ungu-,nail,"unguis, is m.  (nail)",Word Root
xer-,dry,ξερός  (dry),Word Root
epi-,"on, upon, over",ἐπί  (upon),Prefix
intra-,within,intra  (within),Prefix
para-,"beside, beyond, around, abnormal","παρά  (beyond, alongside)",Prefix
per-,through,per (through),Prefix
sub-,"under, below","sub  (under, below)",Prefix
trans-,"through, across, beyond","trans (through, across)",Prefix
 -a,no meaning,(inflected ending),Suffix
 -coccus,berry-shaped (form of bacterium),"κόκκος (grain, seed) [into Latin as coccum, -i for a berry growing on scarlet oak]",Suffix
 -ectomy,excision or surgial removal,ἐκ (out of) + τομή  (cut),Suffix
